,mean,sd,r_hat,ess_bulk,ess_tail
bhmm::e_mu_obs[112],1.1404427121005773,0.1746883030551415,1.0000408750014125,7089.786795328159,6182.903697670427
bhmm::e_mu_obs[113],1.0978246373243006,0.17032671110933,1.0000407954815032,7097.363395554899,6164.249475216339
bhmm::e_mu_obs[114],1.056478875416852,0.1659772392623039,1.0000412274662087,7100.748550238356,6115.599352222192
bhmm::e_mu_obs[115],1.0163944391323725,0.16164765495056369,1.000039659642381,7107.2075078884545,6032.541302377501
bhmm::e_mu_obs[116],0.9775578123165628,0.1573452091818395,1.000037109438685,7112.819916039621,6094.585022073972
bhmm::e_mu_obs[117],0.9399532200730691,0.1530766340074521,1.0000384188239735,7120.282257754516,6115.79567874535
bhmm::e_mu_obs[118],0.9035628832677373,0.1488481431998525,1.0000383601133624,7126.724475531254,6096.679747466985
bhmm::e_mu_obs[119],0.8683672640442569,0.14466543753969247,1.0000358043097686,7134.357182850909,6036.778670310915
bhmm::e_mu_obs[120],0.8343452911530532,0.14053371648392424,1.0000355456102614,7137.235423186494,5991.233118186743
bhmm::e_mu_obs[121],0.8014745680478763,0.13645769000592883,1.0000357646530764,7146.400700196717,5985.1036247779675
bhmm::e_mu_obs[122],0.7697315727657419,0.13244159283707987,1.0000363738924494,7151.656142146926,5996.63343971842
bhmm::e_mu_obs[123],0.7390918401600939,0.1284892039144528,1.0000340714045248,7159.000907065966,6040.264313236975
bhmm::e_mu_obs[124],0.7095301268237276,0.12460386474759565,1.0000324306419164,7168.422111952172,6093.72697629211
bhmm::e_mu_obs[125],0.6810205691085486,0.12078849818201433,1.0000325853127185,7172.656011099418,6012.244042843507
bhmm::e_mu_obs[126],0.6535368257849986,0.11704563118676341,1.0000327886726093,7176.5454563283865,5882.530758839939
bhmm::e_mu_obs[127],0.627052204668328,0.11337741624751281,1.0000331060484342,7184.303977592925,5817.026212045535
bhmm::e_mu_obs[128],0.6015397842667338,0.1097856515077852,1.000033868116268,7188.0757958709155,5867.741284941052
bhmm::e_mu_obs[129],0.5769725213984355,0.10627180410922438,1.000034448736352,7190.4049530378215,5975.538746372432
bhmm::e_mu_obs[130],0.5533233453608295,0.10283703206124789,1.0000339198096995,7195.743498601345,5953.6064973177245
bhmm::e_mu_obs[131],0.5305652488307255,0.09948220380980667,1.0000325911428425,7201.633116681549,5964.663768679107
bhmm::e_mu_obs[132],0.5086713654284867,0.09620792044787135,1.0000620833386344,7205.216104332528,5931.27716985942
bhmm::e_mu_obs[133],0.48761503782594057,0.09301453619228678,1.0000607403566653,7210.409657454596,6021.922153383305
bhmm::e_mu_obs[134],0.4673698828566262,0.08990217648585754,1.0000433138902292,7218.621823983171,5978.641234999253
bhmm::e_mu_obs[135],0.4479098438635385,0.0868707582774691,1.000035080520788,7223.309254028062,5984.7217133317345
bhmm::e_mu_obs[136],0.42920923928131877,0.08392000757749696,1.000034620832493,7230.708799518429,5928.098733289895
bhmm::e_mu_obs[137],0.41124280586800854,0.08104947605608864,1.0000445386549044,7236.578927798777,5956.21619000672
bhmm::e_mu_obs[138],0.3939857316048344,0.07825855889974669,1.0000597537769398,7239.911410804865,5968.140938463416
bhmm::flu_mu_obs[0],41.20070168251818,57.15444652803087,1.0017350577001034,3468.052866391254,1791.4854465943881
bhmm::flu_mu_obs[1],52.8826927455592,58.80003337470683,1.0017352251289684,3494.7707230239794,1791.4854465943881
bhmm::flu_mu_obs[2],66.94031595822962,59.172492211699605,1.0016532600518429,3525.1205344058017,1791.4854465943881
bhmm::flu_mu_obs[3],83.41489188456195,58.62391504092247,1.0015479686492819,3635.8197726795624,1791.4854465943881
