,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::e_mu_obs[71],3.399828437348493,0.2903563139123835,2.951960488171114,3.8764004480787353,7375.328917185294,5901.303282904855,1.0000968156407233,0.0033827613937562227,0.003417923831795233
bhmm::e_mu_obs[72],3.365326091099619,0.28740521213566067,2.9200116263269327,3.8345063824922874,7363.641963223405,5890.707740516985,1.0000376626733605,0.0033526997316407807,0.0034103598905158845
bhmm::e_mu_obs[73],3.3275244305560006,0.28468518033773116,2.884097363605005,3.7896664430781426,7348.2042391080495,5869.202938181212,1.0001808274487216,0.00332474934256099,0.0033982608766311576
bhmm::e_mu_obs[74],3.2866027880474418,0.28219169888891227,2.84821845153921,3.745879330301287,7332.901422082747,5869.906335249535,1.0002330190871265,0.0032988462809478932,0.0033815170327827285
bhmm::e_mu_obs[75],3.2427488329561083,0.2799135350027832,2.8074601552750136,3.699997379174593,7320.658710980272,5870.03389303355,1.000264664457068,0.0032748615444330256,0.003360202840689671
bhmm::e_mu_obs[76],3.196156929833564,0.2778335455629924,2.7629570616149355,3.6528777688037426,7316.102132632125,5874.1189217311185,1.000323665727505,0.003252609669577579,0.003336117672046947
bhmm::e_mu_obs[77],3.14702660068181,0.27592961745451433,2.7168306126475037,3.6022256998550923,7311.430434142242,5941.368431897122,1.0003113676036068,0.0032318583311820065,0.0033097179500267784
bhmm::e_mu_obs[78],3.095560912891301,0.274175727013397,2.6669465867851354,3.545177378257332,7305.066738596582,5874.433909369148,1.0001691523219798,0.0032123390544808324,0.0032797515055757597
bhmm::e_mu_obs[79],3.041964999220265,0.272543021430865,2.6181756561262803,3.487960372421804,7306.378471205348,5919.190207144461,1.000107904231618,0.0031937578267131348,0.003246768159322011
bhmm::e_mu_obs[80],2.9864446291923468,0.2710009193933221,2.5645039319409326,3.426272174629939,7303.157333692715,6067.884209763429,1.0000508534684045,0.0031758059237162353,0.0032113646101347743
bhmm::e_mu_obs[81],2.9292047817945916,0.2695181097985516,2.5089457998064377,3.3679228782473807,7305.169765597046,6067.6396681356055,1.0000497921775535,0.0031581695023149055,0.0031741468031851877
bhmm::e_mu_obs[82],2.870448505194927,0.2680635060557788,2.453685549350529,3.310461303263171,7305.84907006707,6032.215837032202,1.0000517496081862,0.0031405388692228075,0.0031357443102253326
bhmm::e_mu_obs[83],2.810375589564441,0.26660703521617607,2.39903866662727,3.2509412038449255,7312.31648019337,6057.343376151368,1.0000556003079908,0.003122615992484359,0.003096966416356743
bhmm::e_mu_obs[84],2.7491817003488275,0.2651203329589081,2.340545155492655,3.1865897191599792,7286.872034952272,6105.66869541579,1.000055128692719,0.0031132205096786143,0.003057982018809208
bhmm::e_mu_obs[85],2.6870572188969,0.26357724150582723,2.2819937389618747,3.121892386546264,7237.311359706346,5904.1286839731165,1.0000558146739704,0.0031052382398246837,0.0030191662628356133
bhmm::e_mu_obs[86],2.62418658330379,0.2619542523692989,2.2203806639620107,3.057597204213308,7187.692319470654,6128.579040253116,1.0000555886181717,0.003095271935886232,0.0029808082440105233
